origin,destination,count
ABE,BHM,1
ACV,SJC,1
ACY,JFK,1
ALB,BOS,1
ALB,SBN,1
AMA,TUL,1
ASE,GJT,1
ASE,MSN,1
ASE,RFD,1
ATW,CHS,1
ATW,DSM,1
ATW,XNA,1
AUS,DSM,1
AUS,DTW,1
AUS,ORF,1
AVP,HPN,1
AZO,FAR,1
AZO,XNA,1
BDL,GRB,1
BFL,FAT,1
BGR,BTV,1
BHM,AUS,1
BHM,HSV,1
BHM,JFK,1
BHM,MKE,1
BIL,GTF,1
BNA,CID,1
BNA,COS,1
BOI,ATW,1
BOI,GJT,1
BOI,PIT,1
BOS,ACK,1
BOS,BTV,1
BOS,GGG,1
BTR,DEN,1
BTR,MSY,1
BTV,IND,1
BUR,PMD,1
BUR,PSP,1
BUR,RNO,1
BUR,TUS,1
BWI,GRR,1
BWI,SAV,1
BZN,BTM,1
BZN,IDA,1
CDC,LAX,1
CDC,SGU,1
CHO,DCA,1
CHS,SAV,1
CIC,FAT,1
CIC,MRY,1
CID,DSM,1
CID,MKE,1
CLT,ATW,1
CLT,GRR,1
CMH,GRB,1
CMH,GRR,1
CMH,ICT,1
CMH,OMA,1
CMH,SYR,1
CMI,ABI,1
CMI,SPI,1
COS,ABQ,1
COS,CLE,1
COS,FAT,1
COS,LAN,1
COS,MKE,1
CPR,PIH,1
CRW,BNA,1
CRW,LEX,1
CVG,ROA,1
CWA,MLI,1
DAB,JAX,1
DAB,MCO,1
DCA,PLN,1
DEN,BTR,1
DEN,CRW,1
DEN,CYS,1
DEN,MBS,1
DEN,PIH,1
DEN,ROC,1
DRO,ABQ,1
DSM,CWA,1
DSM,LNK,1
DSM,ORF,1
DSM,RFD,1
ERI,PIT,1
EUG,FAT,1
EUG,MFR,1
EUG,RDM,1
EVV,STL,1
EWR,GRB,1
EWR,LGA,1
FAR,LAN,1
FAR,MCI,1
FAR,STL,1
FAT,OGD,1
FAT,TWF,1
FLL,MIA,1
FSD,GRB,1
FSD,MSN,1
FSD,PIA,1
FSD,SDF,1
FWA,TVC,1
GEG,BLI,1
GEG,LGB,1
GEG,RDM,1
GJT,HDN,1
GRB,DEN,1
GRB,DSM,1
GRB,GTF,1
GRB,SDF,1
GSO,JAX,1
GSP,CLT,1
GTF,BZN,1
HOU,BTR,1
HPN,EWR,1
HPN,PIA,1
HPN,PIT,1
HSV,TUS,1
IAD,DCA,1
IAH,AGS,1
ICT,CID,1
ICT,COS,1
ICT,MCI,1
ICT,MSY,1
ICT,PIA,1
ICT,SGF,1
ICT,SLC,1
ICT,STL,1
ILM,RDU,1
IND,PIT,1
