origin,destination,count,iata,name,city,state,country,latitude,longitude,origin_sum,state_group,ori_state_flights,city_unique,city_lat,city_long
ABE,ATL,853,00M,Thigpen,Bay Springs,MS,USA,31.95376472,-89.23450472,0,MS,22798,Bay Springs,31.95376472,-89.23450472
ABE,BHM,1,00R,Livingston Municipal,Livingston,TX,USA,30.68586111,-95.01792778,0,TX,747650,Livingston,30.68586111,-95.01792778
ABE,CLE,805,00V,Meadow Lake,Colorado Springs,CO,USA,38.94574889,-104.5698933,0,CO,280855,Colorado Springs,38.94574889,-104.5698933
ABE,CLT,465,01G,Perry-Warsaw,Perry,NY,USA,42.74134667,-78.05208056,0,NY,331333,Perry,42.74134667,-78.05208056
ABE,CVG,247,01J,Hilliard Airpark,Hilliard,FL,USA,30.6880125,-81.90594389,0,FL,466998,Hilliard,30.6880125,-81.90594389
ABE,DTW,997,01M,Tishomingo County,Belmont,MS,USA,34.49166667,-88.20111111,0,AL,46066,Belmont,34.49166667,-88.20111111
ABE,JFK,3,02A,Gragg-Wade,Clanton,AL,USA,32.85048667,-86.61145333,0,WI,75253,Clanton,32.85048667,-86.61145333
ABE,LGA,9,02C,Capitol,Brookfield,WI,USA,43.08751,-88.17786917,0,OH,126215,Brookfield,43.08751,-88.17786917
ABE,ORD,1425,02G,Columbiana County,East Liverpool,OH,USA,40.67331278,-80.64140639,0,MO,132190,East Liverpool,40.67331278,-80.64140639
ABE,PHL,2,03D,Memphis Memorial,Memphis,MO,USA,40.44725889,-92.22696056,0,MN,135801,Memphis,40.44725889,-92.22696056
ABI,DFW,2660,04M,Calhoun County,Pittsboro,MS,USA,33.93011222,-89.34285194,0,IN,60057,Pittsboro,33.93011222,-89.34285194
ABQ,AMA,368,04Y,Hawley Municipal,Hawley,MN,USA,46.88384889,-96.35089861,0,NV,198742,Hawley,46.88384889,-96.35089861
ABQ,ATL,1067,05C,Griffith-Merrillville,Griffith,IN,USA,41.51961917,-87.40109333,0,IL,461237,Griffith,41.51961917,-87.40109333
ABQ,AUS,433,05F,Gatesville - City/County,Gatesville,TX,USA,31.42127556,-97.79696778,0,ND,9180,Gatesville,31.42127556,-97.79696778
ABQ,BWI,546,05U,Eureka,Eureka,NV,USA,39.60416667,-116.0050597,0,MI,203129,Eureka,39.60416667,-116.0050597
ABQ,CLE,12,06A,Moton  Municipal,Tuskegee,AL,USA,32.46047167,-85.68003611,0,NE,30044,Tuskegee,32.46047167,-85.68003611
ABQ,CVG,260,06C,Schaumburg,Chicago/Schaumburg,IL,USA,41.98934083,-88.10124278,0,GA,435781,Chicago/Schaumburg,41.98934083,-88.10124278
ABQ,DAL,3078,06D,Rolla Municipal,Rolla,ND,USA,48.88434111,-99.62087694,0,DC,0,Rolla,48.88434111,-99.62087694
ABQ,DEN,4318,06M,Eupora Municipal,Eupora,MS,USA,33.53456583,-89.31256917,0,TN,159197,Eupora,33.53456583,-89.31256917
ABQ,DFW,2888,06N,Randall,Middletown,NY,USA,41.43156583,-74.39191722,0,AK,40966,Middletown,41.43156583,-74.39191722
ABQ,ELP,799,06U,Jackpot/Hayden,Jackpot,NV,USA,41.97602222,-114.6580911,0,ME,9776,Jackpot,41.97602222,-114.6580911
ABQ,EWR,167,07C,Dekalb County,Auburn,IN,USA,41.30716667,-85.06433333,0,MA,118372,Auburn,41.30716667,-85.06433333
ABQ,HOU,1011,07F,Gladewater Municipal,Gladewater,TX,USA,32.52883861,-94.97174556,0,VT,7005,Gladewater,32.52883861,-94.97174556
ABQ,IAD,365,07G,Fitch H Beach,Charlotte,MI,USA,42.57450861,-84.81143139,0,SD,9994,Charlotte,42.57450861,-84.81143139
ABQ,IAH,2261,07K,Central City Municipal,Central City,NE,USA,41.11668056,-98.05033639,0,NM,42107,Central City,41.11668056,-98.05033639
ABQ,LAS,2402,08A,Wetumpka Municipal,Wetumpka,AL,USA,32.52943944,-86.32822139,0,OK,50980,Wetumpka,32.52943944,-86.32822139
ABQ,LAX,2395,08D,Stanley Municipal,Stanley,ND,USA,48.30079861,-102.4063514,0,KS,14050,Stanley,48.30079861,-102.4063514
ABQ,LBB,366,08K,Harvard State,Harvard,NE,USA,40.65138528,-98.07978667,0,KY,124067,Harvard,40.65138528,-98.07978667
ABQ,MAF,367,08M,Carthage-Leake County,Carthage,MS,USA,32.76124611,-89.53007139,0,IA,27814,Carthage,32.76124611,-89.53007139
ABQ,MCI,670,09A,Butler-Choctaw County,Butler,AL,USA,32.11931306,-88.1274625,0,AR,33668,Butler,32.11931306,-88.1274625
ABQ,MCO,730,09J,Jekyll Island,Jekyll Island,GA,USA,31.07447222,-81.42777778,0,LA,67181,Jekyll Island,31.07447222,-81.42777778
ABQ,MDW,730,09K,Sargent Municipal,Sargent,NE,USA,41.63695083,-99.34038139,0,CA,824597,Sargent,41.63695083,-99.34038139
ABQ,MSP,677,09M,Charleston Municipal,Charleston,MS,USA,33.99150222,-90.078145,0,WA,127630,Charleston,33.99150222,-90.078145
ABQ,OAK,1016,09W,South Capitol Street,Washington,DC,USA,38.86872333,-77.00747583,0,VA,210702,Washington,38.86872333,-77.00747583
ABQ,OKC,229,0A3,Smithville Municipal,Smithville,TN,USA,35.98531194,-85.80931806,0,AZ,231811,Smithville,35.98531194,-85.80931806
ABQ,ONT,446,0A8,Bibb County,Centreville,AL,USA,32.93679056,-87.08888306,0,PA,158485,Centreville,32.93679056,-87.08888306
ABQ,ORD,751,0A9,Elizabethton Municipal,Elizabethton,TN,USA,36.37094306,-82.17374111,0,NJ,138622,Elizabethton,36.37094306,-82.17374111
ABQ,PDX,366,0AK,Pilot Station,Pilot Station,AK,USA,61.93396417,-162.8929358,0,OR,74207,Pilot Station,61.93396417,-162.8929358
ABQ,PHX,5265,0B1,Col. Dyke,Bethel,ME,USA,44.42506444,-70.80784778,0,NC,211820,Bethel,44.42506444,-70.80784778
ABQ,SAN,1034,0B4,Hartington Municipal,Hartington,NE,USA,42.60355556,-97.25263889,0,UT,143075,Hartington,42.60355556,-97.25263889
ABQ,SAT,424,0B5,Turners Falls,Montague,MA,USA,42.59136361,-72.52275472,0,MT,20280,Montague,42.59136361,-72.52275472
ABQ,SEA,721,0B7,Warren-Sugar Bush,Warren,VT,USA,44.11672722,-72.82705806,0,ID,27122,Warren,44.11672722,-72.82705806
ABQ,SFO,530,0B8,Elizabeth,Fishers Island,NY,USA,41.25130806,-72.03161139,0,CT,29449,Fishers Island,41.25130806,-72.03161139
ABQ,SLC,2307,0C0,Dacy,Chicago/Harvard,IL,USA,42.40418556,-88.63343222,0,SC,42537,Chicago/Harvard,42.40418556,-88.63343222
ABQ,SMF,466,0C4,Pender Municipal,Pender,NE,USA,42.11388722,-96.72892556,0,NH,18588,Pender,42.11388722,-96.72892556
ABQ,STL,366,0D1,South Haven Municipal,South Haven,MI,USA,42.35083333,-86.25613889,0,MD,104074,South Haven,42.35083333,-86.25613889
ABQ,TPA,366,0D8,Gettysburg Municipal,Gettysburg,SD,USA,44.98730556,-99.9535,0,DE,0,Gettysburg,44.98730556,-99.9535
ABQ,TUL,230,0.00E+00,Moriarty,Moriarty,NM,USA,34.98560639,-106.0094661,0,WV,3757,Moriarty,34.98560639,-106.0094661
ABQ,TUS,719,0.00E+00,Crownpoint,Crownpoint,NM,USA,35.71765889,-108.2015961,0,WY,9663,Crownpoint,35.71765889,-108.2015961
ABY,ATL,1095,0F2,Bowie Municipal,Bowie,TX,USA,33.60166667,-97.77556,0,PR,23950,Bowie,33.60166667,-97.77556
ACK,EWR,234,0F4,Loup City Municipal,Loup City,NE,USA,41.29028694,-98.99064278,0,RI,22509,Loup City,41.29028694,-98.99064278
ACK,JFK,223,0F7,Fountainhead Lodge Airpark,Eufaula,OK,USA,35.38898833,-95.60165111,0,NA,4775,Eufaula,35.38898833,-95.60165111
ACT,DFW,1993,0F8,William R Pogue Municipal,Sand Springs,OK,USA,36.17528,-96.15181028,0,AS,0,Sand Springs,36.17528,-96.15181028
ACV,CEC,362,0F9,Tishomingo Airpark,Tishomingo,OK,USA,34.19592833,-96.67555694,0,CQ,0,Tishomingo,34.19592833,-96.67555694
ACV,MRY,2,0G0,North Buffalo Suburban,Lockport,NY,USA,43.10318389,-78.70334583,0,GU,0,Lockport,43.10318389,-78.70334583
ACV,SFO,2343,0G3,Tecumseh Municipal,Tecumseh,NE,USA,40.39944417,-96.17139694,0,HI,110161,Tecumseh,40.39944417,-96.17139694
ACV,SJC,1,0G6,Williams County,Bryan,OH,USA,41.46736111,-84.50655556,0,VI,3408,Bryan,41.46736111,-84.50655556
ACV,SLC,388,0G7,Finger Lakes Regional,Seneca Falls,NY,USA,42.88062278,-76.78162028,0,,,Seneca Falls,42.88062278,-76.78162028
ACV,SMF,618,0H1,Trego Wakeeney,Wakeeney,KS,USA,39.0044525,-99.89289917,0,,,Wakeeney,39.0044525,-99.89289917
ACY,ATL,113,0I8,Cynthiana-Harrison County,Cynthiana,KY,USA,38.36674167,-84.28410056,0,,,Cynthiana,38.36674167,-84.28410056
ACY,JFK,1,0J0,Abbeville Municipal,Abbeville,AL,USA,31.60016778,-85.23882222,0,,,Abbeville,31.60016778,-85.23882222
ACY,LGA,2,0J4,Florala Municipal,Florala,AL,USA,31.04247361,-86.31156111,0,,,Florala,31.04247361,-86.31156111
ADK,ANC,102,0J6,Headland Municipal,Headland,AL,USA,31.364895,-85.30965556,0,,,Headland,31.364895,-85.30965556
ADQ,ANC,706,0K7,Humboldt Municipal,Humboldt,IA,USA,42.7360825,-94.24524167,0,,,Humboldt,42.7360825,-94.24524167
AEX,ATL,983,0L5,Goldfield,Goldfield,NV,USA,37.71798833,-117.2384119,0,,,Goldfield,37.71798833,-117.2384119
AEX,DFW,1005,0L7,Jean,Jean,NV,USA,35.76827222,-115.3296378,0,,,Jean,35.76827222,-115.3296378
AEX,IAH,342,0L9,Echo Bay,Overton,NV,USA,36.31108972,-114.4638672,0,,,Overton,36.31108972,-114.4638672
AGS,ATL,2380,0M0,Dumas Municipal,Dumas,AR,USA,33.8845475,-91.53429111,0,,,Dumas,33.8845475,-91.53429111
AGS,CLT,16,0M1,Scott,Parsons,TN,USA,35.63778,-88.127995,0,,,Parsons,35.63778,-88.127995
AGS,LGA,7,0M4,Benton County,Camden,TN,USA,36.01122694,-88.12328833,0,,,Camden,36.01122694,-88.12328833
AKN,ANC,78,0M5,Humphreys County,Waverly,TN,USA,36.11659972,-87.73815889,0,,,Waverly,36.11659972,-87.73815889
AKN,DLG,38,0M6,Panola County,Batesville,MS,USA,34.36677444,-89.90008917,0,,,Batesville,34.36677444,-89.90008917
ALB,ATL,1154,0M8,Byerley,Lake Providence,LA,USA,32.82587917,-91.187665,0,,,Lake Providence,32.82587917,-91.187665
ALB,BOS,1,0O3,Calaveras Co-Maury Rasmussen,San Andreas,CA,USA,38.14611639,-120.6481733,0,,,San Andreas,38.14611639,-120.6481733
ALB,BWI,2297,0O4,Corning Municipal,Corning,CA,USA,39.94376806,-122.1713781,0,,,Corning,39.94376806,-122.1713781
ALB,CLE,1113,0O5,University,Davis,CA,USA,38.53146222,-121.7864906,0,,,Davis,38.53146222,-121.7864906
ALB,CLT,956,0Q5,Shelter Cove,Shelter Cove,CA,USA,40.02764333,-124.0733639,0,,,Shelter Cove,40.02764333,-124.0733639
ALB,CVG,914,0Q6,Shingletown,Shingletown,CA,USA,40.52210111,-121.8177683,0,,,Shingletown,40.52210111,-121.8177683
ALB,DCA,327,0R0,Columbia-Marion County,Columbia,MS,USA,31.29700806,-89.81282944,0,,,Columbia,31.29700806,-89.81282944
ALB,DTW,1013,0R1,Atmore Municipal,Atmore,AL,USA,31.01621528,-87.44675972,0,,,Atmore,31.01621528,-87.44675972
ALB,EWR,611,0R3,Abbeville Chris Crusta Memorial,Abbeville,LA,USA,29.97576083,-92.08415167,0,,,Vidalia,31.56683278,-91.50011889
ALB,FLL,60,0R4,Concordia Parish,Vidalia,LA,USA,31.56683278,-91.50011889,0,,,Winnfield,31.96366222,-92.66026056
ALB,JFK,367,0R5,David G Joyce,Winnfield,LA,USA,31.96366222,-92.66026056,0,,,Coushatta,31.99071694,-93.30739306
ALB,LAS,366,0R7,Red River,Coushatta,LA,USA,31.99071694,-93.30739306,0,,,Oroville,48.958965,-119.4119622
